ps -ef
UID            PID  PPID C STIME TTY          TIME CMD
root             1     0 0 00:12:04 ?     00:00:05 init
logd          2546     1 0 00:12:16 ?     00:00:02 logd
system        2551     1 0 00:12:16 ?     00:00:00 servicemanager
system        2558     1 0 00:12:16 ?     00:00:00 hwservicemanager
system        2574     1 0 00:12:16 ?     00:00:00 vndservicemanager /dev/vndbinder
root          2623     1 0 00:12:16 ?     00:00:00 android.hardware.boot@1.0-service
system        2626     1 0 00:12:16 ?     00:00:00 android.hardware.keymaster@3.0-service
root          2636     1 0 00:12:16 ?     00:00:00 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
root          2797     1 0 00:12:17 ?     00:00:00 netd
root          2801     1 0 00:12:17 ?     00:00:03 zygote64
root          2812     1 0 00:12:17 ?     00:00:02 zygote
system        2846     1 0 00:12:17 ?     00:00:00 android.hidl.allocator@1.0-service
audioserver   2850     1 0 00:12:17 ?     00:00:01 android.hardware.audio@2.0-service
bluetooth     2868     1 0 00:12:17 ?     00:00:00 android.hardware.bluetooth@1.0-service
cameraserver  2870     1 0 00:12:17 ?     00:00:00 android.hardware.camera.provider@2.4-service
media         2871     1 0 00:12:17 ?     00:00:00 android.hardware.cas@1.0-service
root          2881  2797 0 00:12:17 ?     00:00:00 iptables-restore --noflush -w -v
system        2899     1 0 00:12:17 ?     00:00:00 android.hardware.configstore@1.0-service
root          2902  2797 0 00:12:17 ?     00:00:00 ip6tables-restore --noflush -w -v
media         2921     1 0 00:12:17 ?     00:00:00 android.hardware.drm@1.0-service
system        2936     1 0 00:12:17 ?     00:00:00 android.hardware.gatekeeper@1.0-service
system        2940     1 0 00:12:17 ?     00:00:00 android.hardware.graphics.allocator@2.0-service
system        2950     1 0 00:12:17 ?     00:00:25 android.hardware.graphics.composer@2.1-service
system        2956     1 0 00:12:17 ?     00:00:00 android.hardware.light@2.0-service
system        2963     1 0 00:12:17 ?     00:00:00 android.hardware.memtrack@1.0-service
system        2982     1 0 00:12:17 ?     00:00:00 android.hardware.power@1.0-service
system        2991     1 0 00:12:17 ?     00:00:00 android.hardware.sensors@1.0-service
root          3023     1 0 00:12:17 ?     00:00:00 android.hardware.usb@1.1-service.imx
wifi          3032     1 0 00:12:17 ?     00:00:00 android.hardware.wifi@1.0-service
root          3064     1 0 00:12:17 ?     00:00:00 healthd
root          3076     1 0 00:12:17 ?     00:00:00 lmkd
system        3095     1 0 00:12:17 ?     00:00:19 surfaceflinger
root          3110     1 0 00:12:17 ?     00:00:00 thermalserviced
shell         3149     1 0 00:12:17 ttyLP0 00:00:00 sh
shell         3150     1 0 00:12:17 ?     00:00:00 adbd --root_seclabel=u:r:su:s0
audioserver   3171     1 0 00:12:17 ?     00:00:01 audioserver
cameraserver  3174     1 0 00:12:17 ?     00:00:00 cameraserver
drm           3177     1 0 00:12:17 ?     00:00:00 drmserver
root          3189     1 0 00:12:17 ?     00:00:00 installd
keystore      3190     1 0 00:12:17 ?     00:00:00 keystore /data/misc/keystore
media         3194     1 0 00:12:17 ?     00:00:00 mediadrmserver
mediaex       3212     1 0 00:12:18 ?     00:00:00 media.extractor aextractor
media         3258     1 0 00:12:18 ?     00:00:00 media.metrics diametrics
media         3262     1 0 00:12:18 ?     00:00:00 mediaserver
root          3289     1 0 00:12:18 ?     00:00:00 storaged
wifi          3302     1 0 00:12:18 ?     00:00:00 wificond
mediacodec    3330     1 0 00:12:18 ?     00:00:00 media.codec hw/android.hardware.media.omx@1.0-service
radio         3341     1 0 00:12:18 ?     00:00:00 rild -l /vendor/lib64/libreference-ril.so -- -d /dev/ttyUSB3 -m /dev/ttyUSB4
system        3346     1 0 00:12:18 ?     00:00:00 gatekeeperd /data/misc/gatekeeper
tombstoned    3357     1 0 00:12:18 ?     00:00:00 tombstoned
root          3360     1 0 00:12:18 ?     00:00:00 update_engine --logtostderr --foreground
system        3606  2801 0 00:12:22 ?     00:00:32 system_server
u0_a52        3821  2801 0 00:12:41 ?     00:00:00 com.android.inputmethod.latin
u0_a24        3854  2801 0 00:12:41 ?     00:00:19 com.android.systemui
webview_zygote 3948    1 0 00:12:42 ?     00:00:01 webview_zygote32
radio         4022  2801 0 00:12:42 ?     00:00:00 com.android.phone
u0_a25        4429  2801 0 00:12:47 ?     00:00:06 com.android.launcher3
system        4516  2801 0 00:12:47 ?     00:00:00 com.android.keychain
u0_a21        4762  2801 0 00:12:53 ?     00:00:00 com.android.providers.calendar
u0_a35        4837  2801 0 00:12:53 ?     00:00:00 com.android.email
u0_a13        4944  2801 0 00:12:54 ?     00:00:00 com.android.packageinstaller
u0_a43        5034  2801 0 00:12:54 ?     00:00:00 com.android.quicksearchbox
u0_a20        5076  2801 0 00:13:09 ?     00:00:00 android.ext.services
u0_a12        5346  2801 1 03:16:43 ?     00:00:01 com.android.documentsui
u0_a19        5380  2801 0 03:16:44 ?     00:00:00 com.android.externalstorage
u0_a11        5417  2801 0 03:16:44 ?     00:00:00 android.process.media
u0_a11        5446  2801 0 03:16:44 ?     00:00:00 com.android.mtp
